区分,名称,漢字表記,読み（ひらがな）,読み（カタカナ）,備考
処方名,安中散,安中散,あんちゅうさん,アンチュウサン,漢方処方名
処方名,一風飲,一風飲,いっぷういん,イップウイン,漢方処方名
処方名,茵陳蒿湯,茵陳蒿湯,いんちんこうとう,インチンコウトウ,漢方処方名
処方名,茵陳五苓散,茵陳五苓散,いんちんごれいさん,インチンゴレイサン,漢方処方名
処方名,温経湯,温経湯,うんけいとう,ウンケイトウ,漢方処方名
処方名,温清飲,温清飲,うんせいいん,ウンセイイン,漢方処方名
処方名,温胆湯,温胆湯,うんたんとう,ウンタントウ,漢方処方名
処方名,越婢加朮湯,越婢加朮湯,えっぴかじゅつとう,エッピカジュツトウ,漢方処方名
処方名,延年半夏湯,延年半夏湯,えんねんはんげとう,エンネンハンゲトウ,漢方処方名
処方名,黄耆建中湯,黄耆建中湯,おうぎけんちゅうとう,オウギケンチュウトウ,漢方処方名
処方名,黄連阿膠湯,黄連阿膠湯,おうれんあきょうとう,オウレンアキョウトウ,漢方処方名
処方名,黄連解毒湯,黄連解毒湯,おうれんげどくとう,オウレンゲドクトウ,漢方処方名
処方名,黄連湯,黄連湯,おうれんとう,オウレントウ,漢方処方名
処方名,乙字湯,乙字湯,おつじとう,オツジトウ,漢方処方名
処方名,藿香正気散,藿香正気散,かっこうしょうきさん,カッコウショウキサン,漢方処方名
処方名,葛根黄連黄芩湯,葛根黄連黄芩湯,かっこんおうれんおうごんとう,カッコンオウレンオウゴントウ,漢方処方名
処方名,葛根湯,葛根湯,かっこんとう,カッコントウ,漢方処方名
処方名,葛根湯加辛夷川芎,葛根湯加辛夷川芎,かっこんとうかしんいせんきゅう,カッコントウカシンイセンキュウ,漢方処方名
処方名,葛根湯加川芎辛夷,葛根湯加川芎辛夷,かっこんとうかせんきゅうしんい,カッコントウカセンキュウシンイ,漢方処方名
処方名,加味帰脾湯,加味帰脾湯,かみきひとう,カミキヒトウ,漢方処方名
処方名,加味逍遙散,加味逍遙散,かみしょうようさん,カミショウヨウサン,漢方処方名
処方名,加味逍遙散合四物湯,加味逍遙散合四物湯,かみしょうようさん,カミショウヨウサン,漢方処方名
処方名,加味逍遙散加川芎地黄,加味逍遙散加川芎地黄,かみしょうようさん加川芎地黄,カミショウヨウサン加川芎地黄,漢方処方名
処方名,加味平胃散,加味平胃散,かみへいいさん,カミヘイイサン,漢方処方名
処方名,環元清血飲,環元清血飲,かんげんせいけついん,カンゲンセイケツイン,漢方処方名
処方名,甘草湯,甘草湯,かんぞうとう,カンゾウトウ,漢方処方名
