処方名,読み（ひらがな）,読み（カタカナ）
安中散,あんちゅうさん,アンチュウサン
一風飲,いっぷういん,イップウイン
茵陳蒿湯,いんちんこうとう,インチンコウトウ
茵陳五苓散,いんちんごれいさん,インチンゴレイサン
温経湯,うんけいとう,ウンケイトウ
温清飲,うんせいいん,ウンセイイン
温胆湯,うんたんとう,ウンタントウ
越婢加朮湯,えっぴかじゅつとう,エッピカジュツトウ
延年半夏湯,えんねんはんげとう,エンネンハンゲトウ
黄耆建中湯,おうぎけんちゅうとう,オウギケンチュウトウ
黄連阿膠湯,おうれんあきょうとう,オウレンアキョウトウ
黄連解毒湯,おうれんげどくとう,オウレンゲドクトウ
黄連湯,おうれんとう,オウレントウ
乙字湯,おつじとう,オツジトウ
藿香正気散,かっこうしょうきさん,カッコウショウキサン
葛根黄連黄芩湯,かっこんおうれんおうごんとう,カッコンオウレンオウゴントウ
葛根湯,かっこんとう,カッコントウ
葛根湯加辛夷川芎,かっこんとうかしんいせんきゅう,カッコントウカシンイセンキュウ
葛根湯加川芎辛夷,かっこんとうかせんきゅうしんい,カッコントウカセンキュウシンイ
加味帰脾湯,かみきひとう,カミキヒトウ
加味逍遙散,かみしょうようさん,カミショウヨウサン
加味逍遙散合四物湯,かみしょうようさん,カミショウヨウサン
加味逍遙散加川芎地黄,かみしょうようさん加川芎地黄,カミショウヨウサン加川芎地黄
加味平胃散,かみへいいさん,カミヘイイサン
環元清血飲,かんげんせいけついん,カンゲンセイケツイン
甘草湯,かんぞうとう,カンゾウトウ
甘麦大棗湯,かんばくたいそうとう,カンバクタイソウトウ
漢方,かんぽう,カンポウ
感冒の解熱,かんぼうのげねつ,カンボウノゲネツ
甘露飲,かんろいん,カンロイン
桔梗石膏,ききょうせっこう,キキョウセッコウ
絹のしずく,きぬのしずく,キヌノシズク
帰脾湯,きひとう,キヒトウ
芎帰,きゅうき,キュウキ
芎帰膠艾湯,きゅうききょうがいとう,キュウキキョウガイトウ
芎帰調血飲第一加減,きゅうきちょうけついんだいいちかげん,キュウキチョウケツインダイイチカゲン
玉屏風散,ぎょくへいふうさん,ギョクヘイフウサン
金羚感冒散,きんれいかんぼうさん,キンレイカンボウサン
金羚感冒錠,きんれいかんぼうじょう,キンレイカンボウジョウ
九味檳榔湯,くみびんろうとう,クミビンロウトウ
荊芥連翹湯,けいがいれんぎょうとう,ケイガイレンギョウトウ
桂枝加黄耆湯,けいしかおうぎとう,ケイシカオウギトウ
桂枝加芍薬湯,けいしかしゃくやくとう,ケイシカシャクヤクトウ
桂枝加朮附湯,けいしかじゅつぶとう,ケイシカジュツブトウ
桂枝加竜骨牡蛎湯,けいしかりゅうこつぼれいとう,ケイシカリュウコツボレイトウ
桂枝五物湯,けいしごもつとう,ケイシゴモツトウ
桂枝芍薬知母湯,けいししゃくやくちもとう,ケイシシャクヤクチモトウ
桂枝湯,けいしとう,ケイシトウ
桂枝茯苓丸,けいしぶくりょうがん,ケイシブクリョウガン
桂枝茯苓丸料,けいしぶくりょうがん,ケイシブクリョウガン
桂枝茯苓丸料加薏苡仁,けいしぶくりょうがん料加薏苡仁,ケイシブクリョウガン料加薏苡仁
啓脾湯,けいひとう,ケイヒトウ
荊防敗毒散,けいぼうはいどくさん,ケイボウハイドクサン
桂麻各半湯,けいまかくはんとう,ケイマカクハントウ
虔修六神丸,けんしゅうろくしんがん,ケンシュウロクシンガン
虔脩六神丸,けんしゅうろくしんがん,ケンシュウロクシンガン
甲字湯,こうじとう,コウジトウ
香砂六君子湯,こうしゃりっくんしとう,コウシャリックンシトウ
香蘇散,こうそさん,コウソサン
五加神,ごかじん,ゴカジン
杞菊地黄丸,こぎくじおうがん,コギクジオウガン
杞菊妙見丸,こぎくみょうけんがん,コギクミョウケンガン
五積散,ごしゃくさん,ゴシャクサン
牛車腎気丸,ごしゃじんきがん,ゴシャジンキガン
呉茱萸湯,ごしゅゆとう,ゴシュユトウ
小太郎,こたろう,コタロウ
五淋散,ごりんさん,ゴリンサン
五苓散,ごれいさん,ゴレイサン
柴葛解肌湯,さいかつげきとう,サイカツゲキトウ
柴陥湯,さいかんとう,サイカントウ
柴胡加竜骨牡蛎湯,さいこかりゅうこつぼれいとう,サイコカリュウコツボレイトウ
柴胡桂枝乾姜湯,さいこけいしかんきょうとう,サイコケイシカンキョウトウ
柴胡桂枝湯,さいこけいしとう,サイコケイシトウ
柴胡清肝湯,さいこせいかんとう,サイコセイカントウ
柴胡疎肝湯,さいこそかんとう,サイコソカントウ
柴芍六君子湯,さいしゃくりっくんしとう,サイシャクリックンシトウ
柴苓湯,さいれいとう,サイレイトウ
三黄瀉心湯,さんおうしゃしんとう,サンオウシャシントウ
参楂神,さんざしん,サンザシン
参茸大補,さんじょうたいほ,サンジョウタイホ
参茸大補丸錠,さんじょうたいほがんじょう,サンジョウタイホガンジョウ
酸棗仁湯,さんそうにんとう,サンソウニントウ
三物黄芩湯,さんもつおうごんとう,サンモツオウゴントウ
滋陰降火湯,じいんこうかとう,ジインコウカトウ
紫雲膏,しうんこう,シウンコウ
四逆散,しぎゃくさん,シギャクサン
四君子湯,しくんしとう,シクンシトウ
紫根牡蛎湯,しこんぼれいとう,シコンボレイトウ
梔子柏皮湯,ししはくひとう,シシハクヒトウ
滋腎通耳湯,じじんつうじとう,ジジンツウジトウ
滋腎明目湯,じじんめいもくとう,ジジンメイモクトウ
七物降下湯,しちもつこうかとう,シチモツコウカトウ
柿蒂湯,していとう,シテイトウ
四物湯,しもつとう,シモツトウ
炙甘草湯,しゃかんぞうとう,シャカンゾウトウ
芍薬甘草湯,しゃくやくかんぞうとう,シャクヤクカンゾウトウ
十全大補湯,じゅうぜんたいほとう,ジュウゼンタイホトウ
十味敗毒湯,じゅうみはいどくとう,ジュウミハイドクトウ
小建中湯,しょうけんちゅうとう,ショウケンチュウトウ
小柴胡湯,しょうさいことう,ショウサイコトウ
