商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
小太郎漢方の炮附子末,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006261,ブシ 炮附子,,新陳代謝機能の衰えたものに用いる。強心、鎮痛、利尿。,,,,なし,,通常、成人1日0.5〜1.5gを他剤と配合して服用する。,,
コタロー安中散エキスカプセル,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006222,安中散,,やせ型で腹部筋肉が弛緩する傾向にあり、胃痛または腹痛があって、ときに胸やけ、げっぷ、食欲不振、はきけなどを伴う次の諸症神経性胃炎、慢性胃炎、胃アトニー。,,,ケイヒ(4.0g)、エンゴサク(3.0g)、ボレイ(3.0g)、ウイキョウ(1.5g)、リョウキョウ(0.5g),カルメロースカルシウム、軽質無水ケイ酸、結晶セルロース、合成ケイ酸アルミニウム、ステアリン酸マグネシウム、トウモロコシデンプン、ヒドロキシプロピルスターチ、メタケイ酸アルミン酸マグネシウム、カプセル本体に青色1号、黄色5号、赤色3号、酸化チタン、ゼラチン、ラウリル硫酸ナトリウム,,通常、成人1日6カプセル（2.04g）を2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー安中散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006294,安中散,,冷え症、神経質で、胃痛や胸やけのあるもの。胃腸病、胃炎、胃酸過多症、胃潰瘍による胃痛。,,水製乾燥エキス(1.5g),ケイヒ(4.0g)、エンゴサク(3.0g)、ボレイ(3.0g)、ウイキョウ(1.5g)、カンゾウ(1.0g)、シュクシャ(1.0g)、リョウキョウ(0.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー茵陳蒿湯エキスカプセル,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006223,茵陳蒿湯,,咽喉がかわき、胸苦しく、便秘するもの、あるいは肝臓部に圧痛があって黄疸を発するもの。ジンマ疹、口内炎、胆のう炎。,,,インチンコウ(4.0g)、サンシシ(3.0g)、ダイオウ(1.0g),カルメロースカルシウム、軽質無水ケイ酸、結晶セルロース、合成ケイ酸アルミニウム、ステアリン酸マグネシウム、トウモロコシデンプン、ヒドロキシプロピルスターチ、メタケイ酸アルミン酸マグネシウム、カプセル本体に青色1号、黄色5号、酸化チタン、ゼラチン、ラウリル硫酸ナトリウム,,通常、成人1日6カプセル（2.16g）を2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.4　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー茵陳蒿湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016049,茵陳蒿湯,,口渇があり、尿量少なく、便秘するものの次の諸症ジンマ疹、口内炎。,,水製乾燥エキス(1.9g),インチンコウ(4.0g)、サンシシ(3.0g)、ダイオウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.4　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー温経湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000581,温経湯,,冷え症で手掌がほてり、口唇が乾燥しやすいつぎの諸症に用いる。指掌角皮症、更年期神経症、月経不順、月経過多、月経痛、頭痛、腰痛、帯下。,,水製乾燥エキス(6.0g),バクモンドウ(4.0g)、ハンゲ(4.0g)、トウキ(3.0g)、カンゾウ(2.0g)、ケイヒ(2.0g)、シャクヤク(2.0g)、センキュウ(2.0g)、ニンジン(2.0g)、ボタンピ(2.0g)、ゴシュユ(1.0g)、ショウキョウ(0.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,12.0g,通常、成人1日12.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー温清飲エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006225,温清飲,,皮膚の色つやが悪く、のぼせるものに用いる月経不順、月経困難、血の道症、更年期障害、神経症。,,水製乾燥エキス(6.8g),ジオウ(4.0g)、トウキ(4.0g)、オウゴン(3.0g)、シャクヤク(3.0g)、センキュウ(3.0g)、サンシシ(2.0g)、オウバク(1.5g)、オウレン(1.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,12.0g,通常、成人1日12.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー越婢加朮湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000582,越婢加朮湯,,咽喉がかわき浮腫または水疱が甚だしく尿量減少または頻尿のもの、あるいは分泌物の多いもの。腎炎、ネフローゼ、湿疹、脚気。,,水製乾燥エキス(6.0g),セッコウ(8.0g)、マオウ(6.0g)、ソウジュツ(4.0g)、タイソウ(3.0g)、カンゾウ(2.0g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー黄連解毒湯エキスカプセル,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00046957,黄連解毒湯,,比較的体力があり、のぼせぎみで顔色赤く、いらいらする傾向のある次の諸症鼻出血、高血圧、不眠症、ノイローゼ、胃炎、二日酔、血の道症、めまい、動悸、湿疹・皮膚炎、皮膚そう痒症,,,オウゴン(3.0g)、サンシシ(2.0g)、オウバク(1.5g)、オウレン(1.5g),カルメロースカルシウム、軽質無水ケイ酸、結晶セルロース、合成ケイ酸アルミニウム、ステアリン酸マグネシウム、トウモロコシデンプン、ヒドロキシプロピルスターチ、メタケイ酸アルミン酸マグネシウム、カプセル本体に青色1号、黄色5号、酸化チタン、ゼラチン、ラウリル硫酸ナトリウム,,通常、成人1日6カプセル（2.16g）を2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー黄連解毒湯エキスカプセル,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006226,黄連解毒湯,,比較的体力があり、のぼせぎみで顔色赤く、いらいらする傾向のある次の諸症鼻出血、高血圧、不眠症、ノイローゼ、胃炎、二日酔、血の道症、めまい、動悸、湿疹・皮膚炎、皮膚そう痒症,,,オウゴン(3.0g)、サンシシ(2.0g)、オウバク(1.5g)、オウレン(1.5g),カルメロースカルシウム、軽質無水ケイ酸、結晶セルロース、合成ケイ酸アルミニウム、ステアリン酸マグネシウム、トウモロコシデンプン、ヒドロキシプロピルスターチ、メタケイ酸アルミン酸マグネシウム、カプセル本体に青色1号、黄色5号、酸化チタン、ゼラチン、ラウリル硫酸ナトリウム,,通常、成人1日6カプセル（2.16g）を2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー黄連解毒湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016059,黄連解毒湯,,比較的体力があり、のぼせぎみで顔色赤く、いらいらする傾向のある次の諸症鼻出血、高血圧、不眠症、ノイローゼ、胃炎、二日酔、血の道症、めまい、動悸、湿疹・皮膚炎、皮膚そう痒症,,水製乾燥エキス(1.8g),オウゴン(3.0g)、サンシシ(2.0g)、オウバク(1.5g)、オウレン(1.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　サンシシ含有製剤の長期投与（多くは5年以上）により、大腸の色調異常、浮腫、びらん、潰瘍、狭窄を伴う腸間膜静脈硬化症があらわれるおそれがある。長期投与する場合にあっては、定期的にCT、大腸内視鏡等の検査を行うことが望ましい。［11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー黄連湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006227,黄連湯,,胃部に圧重感があって、食欲減退、腹痛、悪心、嘔吐、口臭、舌苔などがあり、便秘または下痢するもの。胃腸カタル、口内炎、消化不良、胃酸過多症、宿酔。,,水製乾燥エキス(5.0g),ハンゲ(6.0g)、オウレン(3.0g)、カンキョウ(3.0g)、カンゾウ(3.0g)、ケイヒ(3.0g)、タイソウ(3.0g)、ニンジン(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー乙字湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016069,乙字湯,,痔核、脱肛、肛門出血、痔疾の疼痛。,,水製乾燥エキス(5.3g),トウキ(6.0g)、サイコ(5.0g)、オウゴン(3.0g)、カンゾウ(2.0g)、ショウマ(1.5g)、ダイオウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.4　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー葛根湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000185,葛根湯,,頭痛、発熱、悪寒がして、自然発汗がなく、項、肩、背などがこるもの、あるいは下痢するもの。感冒、鼻かぜ、蓄膿症、扁桃腺炎、結膜炎、乳腺炎、湿疹、蕁麻疹、肩こり、神経痛、偏頭痛。,,水製乾燥エキス(4.8g),カッコン(4.0g)、マオウ(4.0g)、タイソウ(3.0g)、カンゾウ(2.0g)、ケイヒ(2.0g)、シャクヤク(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー葛根湯加辛夷川芎エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016092,葛根湯加辛夷川芎,,蓄膿症、慢性鼻炎、鼻閉。,,水製乾燥エキス(5.8g),カッコン(4.0g)、マオウ(4.0g)、シンイ(3.0g)、センキュウ(3.0g)、タイソウ(3.0g)、カンゾウ(2.0g)、ケイヒ(2.0g)、シャクヤク(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
