生薬名（漢字）,生薬名（カタカナ）,読み（ひらがな）,備考
阿膠,アキョウ,あきょう,配合製品数: 5
郁李仁,イクリニン,いくりにん,日本薬局方生薬
威霊仙,イレイセン,いれいせん,配合製品数: 3
茗陳,インチン,いんちん,日本薬局方生薬
茗陳蒿,インチンコウ,いんちんこう,配合製品数: 4
淫羊藿,インヨウカク,いんようかく,配合製品数: 1
茗香,ウイキョウ,ういきょう,配合製品数: 3
鬱金,ウコン,うこん,日本薬局方生薬
烏梅,ウバイ,うばい,日本薬局方生薬
烏薬,ウヤク,うやく,配合製品数: 2
延胡索,エンゴサク,えんごさく,配合製品数: 6
黄耆,オウギ,おうぎ,配合製品数: 26
黄芩,オウゴン,おうごん,配合製品数: 70
黄精,オウセイ,おうせい,配合製品数: 1
黄柏,オウバク,おうばく,配合製品数: 23
桜皮,オウヒ,おうひ,配合製品数: 2
黄連,オウレン,おうれん,配合製品数: 31
遠志,オンジ,おんじ,配合製品数: 2
艾葉,ガイヨウ,がいよう,配合製品数: 1
何首烏,カシュウ,かしゅう,配合製品数: 2
藿香,カッコウ,かっこう,配合製品数: 3
葛根,カッコン,かっこん,配合製品数: 15
滑石,カッセキ,かっせき,配合製品数: 13
括楼根,カロコン,かろこん,配合製品数: 4
括楼仁,カロニン,かろにん,日本薬局方生薬
乾姜,カンキョウ,かんきょう,配合製品数: 20
乾地黄,カンジオウ,かんじおう,配合製品数: 2
甘草,カンゾウ,かんぞう,配合製品数: 192
桔梗,キキョウ,ききょう,配合製品数: 1
菊花,キクカ,きくか,配合製品数: 9
枳殻,キコク,きこく,配合製品数: 2
枳実,キジツ,きじつ,配合製品数: 27
橘皮,キッピ,きっぴ,配合製品数: 1
羌活,キョウカツ,きょうかつ,配合製品数: 5
杏仁,キョウニン,きょうにん,配合製品数: 13
金銀花,キンギンカ,きんぎんか,配合製品数: 6
グアヤコールスルホン酸カリウム,グアヤコールスルホン酸カリウム,ぐあやこーるするほん酸かりうむ,配合製品数: 1
枸杞子,クコシ,くこし,配合製品数: 3
苦参,クジン,くじん,配合製品数: 3
荊芥,ケイガイ,けいがい,配合製品数: 22
